+---------------------------------------------------------------------------------------+-------+----------+--------+
| dependency name                                                                       | count | precison | recall |
| org.springframework.boot:spring-boot-configuration-processor                          |  254  |   0.2    | 0.0157 |
| com.google.dagger:dagger-compiler                                                     |   40  |   0.2    | 0.025  |
| info.cukes:cucumber-spring                                                            |   34  |   0.2    | 0.0294 |
| com.amazonaws:aws-lambda-java-events                                                  |   9   |   0.2    | 0.1111 |
| org.springframework.boot:spring-boot-starter-tomcat                                   |  221  |  0.1951  | 0.0362 |
| org.springframework:spring-tx                                                         |  460  |  0.1935  | 0.013  |
| org.bukkit:bukkit                                                                     |   42  |  0.1905  | 0.0952 |
| javax.inject:javax.inject                                                             |  273  |  0.1892  | 0.0256 |
| org.mockito:mockito-all                                                               |  267  |  0.1864  | 0.0412 |
| org.hibernate:hibernate-entitymanager                                                 |  451  |  0.1728  | 0.0621 |
| io.dropwizard:dropwizard-testing                                                      |   29  |  0.1667  | 0.069  |
| commons-net:commons-net                                                               |   67  |  0.1667  | 0.0299 |
| org.apache.shiro:shiro-spring                                                         |   46  |  0.1667  | 0.0217 |
| com.google.oauth-client:google-oauth-client-jetty                                     |   12  |  0.1667  | 0.0833 |
| com.google.guava:guava                                                                |  752  |  0.1657  | 0.0785 |
| commons-fileupload:commons-fileupload                                                 |  406  |  0.1642  | 0.0271 |
| com.google.gms:google-services                                                        |  287  |  0.1606  | 0.0767 |
| joda-time:joda-time                                                                   |  300  |   0.16   | 0.0267 |
| org.glassfish.jersey.core:jersey-client                                               |   76  |  0.1538  | 0.0263 |
| org.apache.derby:derby                                                                |   92  |  0.1538  | 0.0217 |
| com.google.android.gms:play-services-gcm                                              |   37  |  0.1538  | 0.0541 |
| javax.servlet.jsp:javax.servlet.jsp-api                                               |  122  |   0.15   | 0.0246 |
| com.fasterxml.jackson.core:jackson-core                                               |  535  |  0.1456  | 0.028  |
| org.apache.tomcat:tomcat-servlet-api                                                  |   44  |  0.1429  | 0.0227 |
| javassist:javassist                                                                   |   50  |  0.1429  |  0.02  |
| org.asynchttpclient:async-http-client                                                 |   5   |  0.1429  |  0.2   |
| org.postgresql:postgresql                                                             |  289  |  0.1429  | 0.0311 |
| com.mcxiaoke.volley:library                                                           |   21  |  0.1429  | 0.0952 |
| com.eclipsesource.minimal-json:minimal-json                                           |   12  |  0.1429  | 0.0833 |
| org.springframework.cloud:spring-cloud-starter-config                                 |   77  |  0.1429  | 0.026  |
| org.javassist:javassist                                                               |  170  |  0.1429  | 0.0059 |
| org.seleniumhq.selenium:selenium-chrome-driver                                        |   35  |  0.1429  | 0.0286 |
| org.mockito:mockito-core                                                              |  212  |  0.1392  | 0.0519 |
| javax.mail:mail                                                                       |  220  |  0.1333  | 0.0182 |
| commons-lang:commons-lang                                                             |  314  |  0.1273  | 0.0223 |
| net.sf.ehcache:ehcache                                                                |   59  |  0.125   | 0.0169 |
| com.codeborne:selenide                                                                |   24  |  0.125   | 0.0417 |
| com.fasterxml.jackson.core:jackson-annotations                                        |  375  |  0.1209  | 0.0293 |
| org.aspectj:aspectjweaver                                                             |  251  |   0.12   | 0.0239 |
| com.google.android.gms:play-services-auth                                             |   61  |  0.1176  | 0.0328 |
| org.springframework.boot:spring-boot-starter-data-rest                                |  172  |  0.1163  | 0.0291 |
| com.google.android.gms:play-services                                                  |  117  |  0.1154  | 0.0513 |
| com.alibaba:fastjson                                                                  |  348  |  0.1125  | 0.0259 |
| org.apache.tomcat:tomcat-catalina                                                     |   20  |  0.1111  |  0.05  |
| com.google.dagger:dagger                                                              |   47  |  0.1111  | 0.0213 |
| com.datastax.cassandra:cassandra-driver-mapping                                       |   20  |  0.1111  |  0.1   |
| org.apache.kafka:kafka-streams                                                        |   5   |  0.1111  |  0.2   |
| com.android.support.test:rules                                                        |   70  |  0.1111  | 0.0143 |
| com.sun.jersey:jersey-bundle                                                          |   31  |  0.1111  | 0.0323 |
| com.datastax.cassandra:cassandra-driver-extras                                        |   12  |  0.1111  | 0.0833 |
| org.liquibase:liquibase-core                                                          |  120  |  0.1111  | 0.0083 |
| jstl:jstl                                                                             |  367  |  0.1091  | 0.0163 |
| org.hamcrest:hamcrest-core                                                            |  103  |  0.1071  | 0.0291 |
| com.google.inject:guice                                                               |   89  |  0.1053  | 0.0225 |
| org.springframework.boot:spring-boot-devtools                                         |  457  |  0.1043  | 0.0263 |
| org.springframework:spring-beans                                                      |  410  |  0.1042  | 0.0122 |
| org.apache.httpcomponents:httpclient                                                  |  527  |  0.1034  | 0.0398 |
| org.eclipse.jetty:jetty-webapp                                                        |   44  |   0.1    | 0.0227 |
| com.fasterxml.jackson.dataformat:jackson-dataformat-xml                               |   73  |   0.1    | 0.0137 |
| org.springframework:spring-context-support                                            |  389  |   0.1    | 0.0026 |
| asm:asm                                                                               |   61  |   0.1    | 0.0164 |
| org.apache.hbase:hbase-client                                                         |   29  |   0.1    | 0.0345 |
| io.reactivex:rxjava                                                                   |   89  |   0.1    | 0.0225 |
| ch.qos.logback:logback-classic                                                        |  544  |  0.0991  | 0.0202 |
| commons-dbcp:commons-dbcp                                                             |  304  |  0.0976  | 0.0132 |
| org.projectlombok:lombok                                                              |  560  |  0.0952  | 0.0107 |
| com.amazonaws:aws-java-sdk                                                            |   39  |  0.0938  | 0.0769 |
| com.google.code.gson:gson                                                             |  945  |  0.0937  | 0.0487 |
| com.google.android.support:wearable                                                   |   21  |  0.0909  | 0.0476 |
| javax:javaee-api                                                                      |  197  |  0.0909  | 0.0305 |
| org.hsqldb:hsqldb                                                                     |  183  |  0.087   | 0.0219 |
